,Family_id,SuperFamily_id,Sequence,CF,SF,FA
69,8072823,8072824,,2000016,3001156,4003632
70,8072825,8072826,,2000016,3001156,4003632
71,8072827,8072828,,2000016,3001156,4003632
72,8072829,8072830,,2000016,3001156,4003632
73,8072831,8072832,,2000016,3001156,4003632
74,8072833,8072834,,2000016,3001156,4003632
75,8072835,8072836,,2000016,3001156,4003632
76,8072837,8072838,,2000016,3001156,4003632
77,8072839,8072840,,2000016,3001156,4003632
78,8072841,8072842,,2000016,3001156,4003632
79,8072843,8072844,,2000016,3001156,4003632
80,8072845,8072846,,2000016,3001156,4003632
81,8072847,8072848,,2000016,3001156,4003632
82,8072849,8072850,,2000016,3001156,4003632
83,8072851,8072852,,2000016,3001156,4003632
84,8072853,8072854,,2000016,3001156,4003632
85,8072855,8072856,,2000016,3001156,4003632
86,8072857,8072858,,2000016,3001156,4003632
87,8072859,8072860,,2000016,3001156,4003632
88,8072861,8072862,,2000016,3001156,4003632
89,8072863,8072864,,2000016,3001156,4003632
90,8072865,8072866,,2000016,3001156,4003632
91,8072867,8072868,,2000016,3001156,4003632
92,8072869,8072870,,2000016,3001156,4003632
93,8072871,8072872,,2000016,3001156,4003632
94,8072873,8072874,,2000016,3001156,4003632
95,8072875,8072876,,2000016,3001156,4003632
96,8072877,8072878,,2000016,3001156,4003632
97,8072879,8072880,,2000016,3001156,4003632
98,8072881,8072882,,2000016,3001156,4003632
99,8072883,8072884,,2000016,3001156,4003632
100,8072885,8072886,,2000016,3001156,4003632
101,8072887,8072888,,2000016,3001156,4003632
102,8072889,8072890,,2000016,3001156,4003632
103,8072891,8072892,,2000016,3001156,4003632
104,8072893,8072894,,2000016,3001156,4003632
105,8072895,8072896,,2000016,3001156,4003632
106,8072897,8072898,,2000016,3001156,4003632
107,8072899,8072900,,2000016,3001156,4003632
108,8072901,8072902,,2000016,3001156,4003632
109,8072903,8072904,,2000016,3001156,4003632
110,8072905,8072906,,2000016,3001156,4003632
111,8072907,8072908,,2000016,3001156,4003632
112,8074334,8074335,,2000016,3001156,4003632
113,8074336,8074337,,2000016,3001156,4003632
114,8074338,8074339,,2000016,3001156,4003632
115,8074340,8074341,,2000016,3001156,4003632
116,8074342,8074343,,2000016,3001156,4003632
117,8074344,8074345,,2000016,3001156,4003632
118,8074346,8074347,,2000016,3001156,4003632
119,8074348,8074349,,2000016,3001156,4003632
120,8074354,8074355,,2000016,3001156,4003632
121,8075474,8075475,,2000016,3001156,4003632
122,8075476,8075477,,2000016,3001156,4003632
123,8075478,8075479,,2000016,3001156,4003632
124,8075480,8075481,,2000016,3001156,4003632
125,8076228,8076229,,2000016,3001156,4003632
126,8076230,8076231,,2000016,3001156,4003632
127,8076697,8076698,,2000016,3001156,4003632
128,8077394,8077395,,2000016,3001156,4003632
129,8077428,8077429,,2000016,3001156,4003632
130,8081626,8081627,,2000016,3001156,4003632
131,8083886,8083887,,2000016,3001156,4003632
132,8092321,8092322,,2000016,3001156,4003632
133,8094828,8094829,,2000016,3001156,4003632
134,8094976,8094977,,2000016,3001156,4003632
135,8094978,8094979,,2000016,3001156,4003632
136,8095472,8095473,,2000016,3001156,4003632
137,8096155,8096156,,2000016,3001156,4003632
138,8096203,8096204,,2000016,3001156,4003632
139,8096501,8096502,,2000016,3001156,4003632
140,8096607,8096608,,2000016,3001156,4003632
141,8096609,8096610,,2000016,3001156,4003632
142,8096731,8096732,,2000016,3001156,4003632
143,8096969,8096970,,2000016,3001156,4003632
144,8097261,8097262,,2000016,3001156,4003632
145,8098421,8098422,,2000016,3001156,4003632
146,8099121,8099122,,2000016,3001156,4003632
147,8101340,8101341,,2000016,3001156,4003632
148,8101702,8101703,,2000016,3001156,4003632
149,8103049,8103050,,2000016,3001156,4003632
150,8103509,8103510,,2000016,3001156,4003632
151,8104014,8104015,,2000016,3001156,4003632
152,8105613,8105614,,2000016,3001156,4003632
153,8045706,8091607,,2001471,3002525,4004630
154,8045707,8091609,,2001471,3002525,4004630
155,8045708,8091611,,2001471,3002525,4004630
156,8019846,8032226,,2000736,3001157,4002373
157,8045706,8091608,,2000683,3002526,4004630
158,8045707,8091610,,2000683,3002526,4004630
159,8045708,8091612,,2000683,3002526,4004630
160,8025639,8038018,,2000735,3001158,4002374
161,8083633,8083634,,2000735,3001158,4002374
162,8083635,8083636,,2000735,3001158,4002374
163,8083637,8083638,,2000735,3001158,4002374
164,8083639,8083640,,2000735,3001158,4002374
165,8083641,8083642,,2000735,3001158,4002374
166,8093889,8093890,,2000735,3001158,4002374
167,8094720,8094721,,2000735,3001158,4002374
168,8094776,8094777,,2000735,3001158,4002374
169,8094778,8094779,,2000735,3001158,4002374
170,8045713,8091614,,2001472,3002527,4004634
171,8023117,8035497,,2000014,3001159,4001253
172,8023119,8035499,,2000014,3001159,4001253
173,8023120,8035500,,2000014,3001159,4001253
174,8023123,8035503,,2000014,3001159,4001253
175,8023130,8035510,,2000014,3001159,4001253
176,8023131,8035511,,2000014,3001159,4001253
177,8023628,8036008,,2000014,3001159,4001253
178,8025618,8037997,,2000014,3001159,4001253
179,8025912,8038291,,2000014,3001159,4001253
180,8025915,8038294,,2000014,3001159,4001253
181,8029145,8041524,,2000014,3001159,4001253
182,8029486,8041865,,2000014,3001159,4001253
183,8031484,8043862,,2000014,3001159,4001253
184,8061464,8061465,,2000014,3001159,4001253
185,8061466,8061467,,2000014,3001159,4001253
186,8064505,8064506,,2000014,3001159,4001253
187,8064507,8064508,,2000014,3001159,4001253
188,8064509,8064510,,2000014,3001159,4001253
189,8064511,8064512,,2000014,3001159,4001253
190,8064513,8064514,,2000014,3001159,4001253
191,8064515,8064516,,2000014,3001159,4001253
192,8084338,8084339,,2000014,3001159,4001253
193,8096717,8096718,,2000014,3001159,4001253
194,8097203,8097204,,2000014,3001159,4001253
195,8100715,8100716,,2000014,3001159,4001253
196,8020308,8032688,,2000724,3001160,4003633
197,8031894,8044272,,2000724,3001160,4003633
198,8086949,8086950,,2000724,3001160,4003633
199,8045447,8090693,,2000724,3001160,4004474
200,8046567,8090694,,2000724,3001160,4005161
201,8090698,8090699,,2000724,3001160,4003633
202,8090700,8090701,,2000724,3001160,4007709
203,8045864,8091413,,2000724,3001160,4004729
204,8045864,8091414,,2000724,3001160,4004729
205,8047101,8091622,,2001473,3002528,4005449
206,8047102,8091626,,2001473,3002528,4005449
207,8020650,8033030,,2000737,3001161,4002376
208,8024432,8036811,,2000737,3001161,4002383
209,8026201,8038580,,2000737,3001161,4002376
210,8030159,8042538,,2000737,3001161,4002376
211,8082274,8082275,,2000737,3001161,4002376
212,8082276,8082277,,2000737,3001161,4002376
213,8082278,8082279,,2000737,3001161,4002376
214,8092909,8092910,,2000737,3001161,4002383
215,8092912,8092913,,2000737,3001161,4002383
216,8093519,8093520,,2000737,3001161,4002376
217,8093525,8093526,,2000737,3001161,4002376
218,8095558,8095559,,2000737,3001161,4002376
219,8096075,8096076,,2000737,3001161,4002376
220,8096331,8096332,,2000737,3001161,4002376
221,8097307,8097308,,2000737,3001161,4002376
222,8097461,8097462,,2000737,3001161,4002376
223,8099013,8099014,,2000737,3001161,4002376
224,8100113,8100114,,2000737,3001161,4002376
225,8045715,8091635,,2000962,3002529,4004636
226,8045716,8091636,,2000962,3002529,4004636
227,8020704,8033084,,2001119,3001162,4001254
228,8066213,8066214,,2001119,3001162,4001254
229,8045719,8091650,,2001474,3002531,4004639
230,8026137,8038516,,2000738,3001163,4001255
231,8026139,8038518,,2000738,3001163,4001255
232,8026140,8038519,,2000738,3001163,4001255
233,8053472,8053473,,2000738,3001163,4001255
234,8018872,8057912,,2000738,3001163,4001262
235,8018874,8057919,,2000738,3001163,4001262
236,8018882,8057921,,2000738,3001163,4001262
237,8018886,8057928,,2000738,3001163,4001262
238,8018905,8057939,,2000738,3001163,4001255
239,8079456,8079457,,2000738,3001163,4001255
240,8079458,8079459,,2000738,3001163,4001255
241,8079460,8079461,,2000738,3001163,4001255
242,8079462,8079463,,2000738,3001163,4001255
243,8079464,8079465,,2000738,3001163,4001255
244,8079466,8079467,,2000738,3001163,4001255
245,8079468,8079469,,2000738,3001163,4001255
246,8079470,8079471,,2000738,3001163,4001255
247,8079472,8079473,,2000738,3001163,4001255
248,8079474,8079475,,2000738,3001163,4001255
249,8084521,8084522,,2000738,3001163,4001255
250,8084523,8084524,,2000738,3001163,4001255
251,8084525,8084526,,2000738,3001163,4001255
252,8094842,8094843,,2000738,3001163,4001255
253,8045726,8091653,,2001475,3002532,4004642
254,8091652,8091654,,2001475,3002532,4004642
255,8020139,8032519,,2000739,3001164,4002385
256,8020278,8032658,,2000739,3001164,4002385
257,8022823,8035203,,2000739,3001164,4002385
258,8023659,8036039,,2000739,3001164,4002385
259,8024468,8036847,,2000739,3001164,4002385
260,8024589,8036968,,2000739,3001164,4002385
261,8024592,8036971,,2000739,3001164,4002385
262,8024593,8036972,,2000739,3001164,4002385
263,8024598,8036977,,2000739,3001164,4002385
264,8024601,8036980,,2000739,3001164,4002385
265,8024602,8036981,,2000739,3001164,4002385
266,8024603,8036982,,2000739,3001164,4002385
267,8024608,8036987,,2000739,3001164,4002385
268,8027917,8040296,,2000739,3001164,4002413
269,8027930,8040309,,2000739,3001164,4002385
270,8029396,8041775,,2000739,3001164,4002413
271,8029589,8041968,,2000739,3001164,4002385
272,8029894,8042273,,2000739,3001164,4002385
273,8032070,8044448,,2000739,3001164,4002385
274,8071055,8071056,,2000739,3001164,4002385
275,8071059,8071060,,2000739,3001164,4002385
276,8071061,8071062,,2000739,3001164,4002385
277,8071067,8071068,,2000739,3001164,4002385
278,8071081,8071082,,2000739,3001164,4002385
279,8073995,8073996,,2000739,3001164,4002413
280,8077768,8077769,,2000739,3001164,4002385
281,8093773,8093774,,2000739,3001164,4002385
282,8093803,8093804,,2000739,3001164,4002413
283,8097213,8097214,,2000739,3001164,4002413
284,8099971,8099972,,2000739,3001164,4002413
285,8102916,8102917,,2000739,3001164,4002413
286,8091666,8091667,,2000035,3002533,4007752
287,8091668,8091669,,2000035,3002533,4007752
288,8091670,8091671,,2000035,3002533,4007752
289,8021377,8033757,,2000014,3001165,4002632
290,8022185,8034565,,2000014,3001165,4002632
291,8022872,8035252,,2000014,3001165,4001256
292,8022878,8035258,,2000014,3001165,4001256
293,8023440,8035820,,2000014,3001165,4003656
294,8024362,8036741,,2000014,3001165,4002632
295,8024831,8037210,,2000014,3001165,4000638
296,8024842,8037221,,2000014,3001165,4002632
297,8025384,8037763,,2000014,3001165,4002632
298,8026030,8038409,,2000014,3001165,4002632
299,8027030,8039409,,2000014,3001165,4001256
300,8027706,8040085,,2000014,3001165,4001256
301,8029487,8041866,,2000014,3001165,4002632
302,8029488,8041867,,2000014,3001165,4001256
303,8030697,8043076,,2000014,3001165,4001256
304,8031440,8043818,,2000014,3001165,4003656
305,8032157,8044535,,2000014,3001165,4001256
306,8063677,8063678,,2000014,3001165,4002632
307,8063679,8063680,,2000014,3001165,4002632
308,8063681,8063682,,2000014,3001165,4002632
309,8063683,8063684,,2000014,3001165,4002632
310,8063685,8063686,,2000014,3001165,4002632
311,8063687,8063688,,2000014,3001165,4002632
312,8063689,8063690,,2000014,3001165,4002632
313,8074408,8074409,,2000014,3001165,4001256
314,8074410,8074411,,2000014,3001165,4001256
315,8074412,8074413,,2000014,3001165,4001256
316,8074414,8074415,,2000014,3001165,4001256
317,8074416,8074417,,2000014,3001165,4001256
318,8074418,8074419,,2000014,3001165,4001256
319,8074420,8074421,,2000014,3001165,4001256
320,8074422,8074423,,2000014,3001165,4001256
321,8074424,8074425,,2000014,3001165,4001256
322,8074426,8074427,,2000014,3001165,4001256
323,8074428,8074429,,2000014,3001165,4001256
324,8074430,8074431,,2000014,3001165,4001256
325,8074432,8074433,,2000014,3001165,4001256
326,8074434,8074435,,2000014,3001165,4001256
327,8086165,8086166,,2000014,3001165,4001256
328,8086167,8086168,,2000014,3001165,4001256
329,8086169,8086170,,2000014,3001165,4001256
330,8086171,8086172,,2000014,3001165,4001256
331,8089359,8089360,,2000014,3001165,4000638
332,8095014,8095015,,2000014,3001165,4001256
333,8095766,8095767,,2000014,3001165,4002632
334,8100297,8100298,,2000014,3001165,4002632
335,8102854,8102855,,2000014,3001165,4001256
336,8046695,8103599,,2000014,3001165,4005244
337,8001473,8091673,,2000141,3002534,4000130
338,8084464,8093407,,2000141,3002534,4000130
339,8084466,8093408,,2000141,3002534,4000130
340,8028450,8040829,,2001119,3001166,4001257
341,8051124,8091689,,2000073,3002535,4007207
342,8051125,8091690,,2000073,3002535,4007207
343,8093109,8093111,,2000073,3002535,4007793
344,8093113,8093115,,2000073,3002535,4007793
345,8093117,8093119,,2000073,3002535,4007793
346,8093121,8093123,,2000073,3002535,4007793
347,8093127,8093126,,2000073,3002535,4007794
348,8026006,8038385,,2000080,3001167,4002388
349,8027670,8040049,,2000080,3001167,4002388
350,8045732,8091696,,2001476,3002536,4004646
351,8022918,8035298,,2000740,3001168,4002389
352,8025254,8037633,,2000740,3001168,4002405
353,8028695,8041074,,2000740,3001168,4002389
354,8028698,8041077,,2000740,3001168,4002394
355,8028699,8041078,,2000740,3001168,4002394
356,8028705,8041084,,2000740,3001168,4002394
357,8028712,8041091,,2000740,3001168,4002394
358,8028713,8041092,,2000740,3001168,4002394
359,8028716,8041095,,2000740,3001168,4002405
360,8029927,8042306,,2000740,3001168,4002389
361,8101059,8101060,,2000740,3001168,4002389
362,8101093,8101094,,2000740,3001168,4002389
363,8101095,8101096,,2000740,3001168,4002389
364,8045733,8091699,,2001019,3002537,4004647
365,8045734,8091700,,2001019,3002537,4004647
366,8030169,8042548,,2000741,3001169,4002390
367,8030170,8042549,,2000741,3001169,4002390
368,8026620,8038999,,2001135,3001170,4001258
369,8102041,8102042,,2001135,3001170,4001258
370,8051166,8091709,,2000112,3002538,4007227
371,8051167,8091712,,2000112,3002538,4007227
372,8051169,8091715,,2000112,3002538,4007227
373,8051171,8091718,,2000112,3002538,4007227
374,8051172,8091721,,2000112,3002538,4007227
375,8051173,8091724,,2000112,3002538,4007227
376,8051175,8091726,,2000112,3002538,4007227
377,8051176,8091729,,2000112,3002538,4007227
378,8092566,8092568,,2000112,3002538,4007227
379,8028961,8041340,,2001119,3001171,4001259
380,8045736,8091738,,2001478,3002540,4004649
381,8046312,8091739,,2001478,3002540,4005013
382,8046311,8091742,,2001478,3002540,4005013
383,8046313,8091745,,2001478,3002540,4005013
384,8046314,8091748,,2001478,3002540,4005013
385,8091753,8091754,,2001478,3002540,4007758
386,8091761,8091762,,2001478,3002540,4007758
387,8091772,8091773,,2001478,3002540,4007758
388,8091731,8091732,,2000119,3002539,4007757
389,8091733,8091734,,2000119,3002539,4007757
390,8091735,8091736,,2000119,3002539,4007757
391,8047245,8091737,,2000119,3002539,4007757
392,8030948,8043327,,2000117,3001172,4002372
393,8031131,8043509,,2000117,3001172,4002372
394,8045737,8091777,,2001479,3002541,4004650
395,8046336,8091778,,2001479,3002541,4005027
396,8046337,8091779,,2001479,3002541,4005027
397,8045780,8091780,,2001479,3002541,4004682
398,8045781,8091781,,2001479,3002541,4004682
399,8045782,8091782,,2001479,3002541,4004682
400,8045783,8091783,,2001479,3002541,4004682
401,8095544,8095545,,2001479,3002541,4005027
402,8024028,8036407,,2000464,3001173,4002392
403,8026146,8038525,,2000464,3001173,4002392
404,8045738,8091784,,2000036,3002542,4004651
405,8021762,8034142,,2000742,3001174,4001521
406,8022588,8034968,,2000742,3001174,4001521
407,8022630,8035010,,2000742,3001174,4001521
408,8024351,8036730,,2000742,3001174,4001521
409,8025099,8037478,,2000742,3001174,4000721
410,8029256,8041635,,2000742,3001174,4000721
411,8029664,8042043,,2000742,3001174,4003078
412,8030707,8043086,,2000742,3001174,4003078
413,8031090,8043468,,2000742,3001174,4003078
414,8031367,8043745,,2000742,3001174,4001515
415,8062834,8062835,,2000742,3001174,4000721
416,8062836,8062837,,2000742,3001174,4000721
417,8081116,8081117,,2000742,3001174,4003078
418,8089080,8089081,,2000742,3001174,4003078
419,8045743,8091788,,2001480,3002543,4004655
420,8019912,8032292,,2000014,3001175,4001261
421,8020769,8033149,,2000014,3001175,4001261
422,8020806,8033186,,2000014,3001175,4001261
423,8021479,8033859,,2000014,3001175,4001261
424,8022886,8035266,,2000014,3001175,4001261
425,8022889,8035269,,2000014,3001175,4001261
426,8022897,8035277,,2000014,3001175,4001261
427,8022921,8035301,,2000014,3001175,4001261
428,8022926,8035306,,2000014,3001175,4001261
429,8023837,8036217,,2000014,3001175,4001261
430,8025125,8037504,,2000014,3001175,4001261
431,8025361,8037740,,2000014,3001175,4001261
432,8026583,8038962,,2000014,3001175,4001261
433,8027611,8039990,,2000014,3001175,4001261
434,8027645,8040024,,2000014,3001175,4001261
435,8029931,8042310,,2000014,3001175,4001261
436,8030070,8042449,,2000014,3001175,4001261
437,8030462,8042841,,2000014,3001175,4001261
438,8030942,8043321,,2000014,3001175,4001261
439,8031557,8043935,,2000014,3001175,4001261
440,8061516,8061517,,2000014,3001175,4001261
441,8061520,8061521,,2000014,3001175,4001261
442,8061522,8061523,,2000014,3001175,4001261
443,8061524,8061525,,2000014,3001175,4001261
444,8061526,8061527,,2000014,3001175,4001261
445,8061528,8061529,,2000014,3001175,4001261
446,8061530,8061531,,2000014,3001175,4001261
447,8061532,8061533,,2000014,3001175,4001261
448,8061534,8061535,,2000014,3001175,4001261
449,8061538,8061539,,2000014,3001175,4001261
450,8061540,8061541,,2000014,3001175,4001261
451,8061542,8061543,,2000014,3001175,4001261
452,8061544,8061545,,2000014,3001175,4001261
453,8061546,8061547,,2000014,3001175,4001261
454,8061548,8061549,,2000014,3001175,4001261
455,8061550,8061551,,2000014,3001175,4001261
456,8061552,8061553,,2000014,3001175,4001261
457,8061556,8061557,,2000014,3001175,4001261
458,8061558,8061559,,2000014,3001175,4001261
459,8061560,8061561,,2000014,3001175,4001261
460,8061562,8061563,,2000014,3001175,4001261
461,8061564,8061565,,2000014,3001175,4001261
462,8061566,8061567,,2000014,3001175,4001261
463,8061568,8061569,,2000014,3001175,4001261
464,8061570,8061571,,2000014,3001175,4001261
465,8093483,8093484,,2000014,3001175,4001261
466,8094718,8094719,,2000014,3001175,4001261
467,8094750,8094751,,2000014,3001175,4001261
468,8094782,8094783,,2000014,3001175,4001261
469,8097471,8097472,,2000014,3001175,4001261
470,8100885,8100886,,2000014,3001175,4001261
471,8106059,8106060,,2000014,3001175,4001261
472,8045744,8091789,,2000425,3002544,4004656
473,8091793,8091794,,2000425,3002544,4004656
474,8020955,8033335,,2000743,3001176,4003643
475,8030786,8043165,,2000743,3001176,4003643
476,8030814,8043193,,2000743,3001176,4003643
477,8045747,8091805,,2001481,3002545,4004658
478,8027460,8039839,,2000080,3001177,4002393
479,8088655,8091822,,2000085,3002546,4006026
480,8048248,8091827,,2000085,3002546,4006026
481,8048249,8091832,,2000085,3002546,4006026
482,8048246,8091842,,2000085,3002546,4006026
483,8048247,8091849,,2000085,3002546,4006026
484,8091854,8091855,,2000085,3002546,4006026
485,8021715,8034095,,2000030,3001178,4001263
486,8022434,8034814,,2000030,3001178,4001263
487,8058957,8058958,,2000030,3001178,4001263
488,8045753,8091920,,2001135,3002547,4004661
489,8045754,8091928,,2001135,3002547,4004661
490,8029616,8041995,,2000744,3001180,4000728
491,8020012,8032392,,2000000,3001179,4000720
492,8022183,8034563,,2000000,3001179,4000720
493,8022193,8034573,,2000000,3001179,4000729
494,8022230,8034610,,2000000,3001179,4000720
495,8022531,8034911,,2000000,3001179,4000729
496,8024260,8036639,,2000000,3001179,4000729
497,8024262,8036641,,2000000,3001179,4000720
498,8024266,8036645,,2000000,3001179,4000726
499,8025848,8038227,,2000000,3001179,4000729
500,8026875,8039254,,2000000,3001179,4000729
501,8028462,8040841,,2000000,3001179,4000729
502,8028642,8041021,,2000000,3001179,4000720
503,8029047,8041426,,2000000,3001179,4000726
504,8075566,8075567,,2000000,3001179,4000729
505,8075568,8075569,,2000000,3001179,4000729
506,8075570,8075571,,2000000,3001179,4000729
507,8075572,8075573,,2000000,3001179,4000729
508,8075574,8075575,,2000000,3001179,4000729
509,8075576,8075577,,2000000,3001179,4000729
510,8075578,8075579,,2000000,3001179,4000729
511,8075580,8075581,,2000000,3001179,4000729
512,8075582,8075583,,2000000,3001179,4000729
513,8075584,8075585,,2000000,3001179,4000729
514,8075586,8075587,,2000000,3001179,4000729
515,8075588,8075589,,2000000,3001179,4000729
516,8075590,8075591,,2000000,3001179,4000729
517,8075592,8075593,,2000000,3001179,4000729
518,8076218,8076219,,2000000,3001179,4000729
519,8076220,8076221,,2000000,3001179,4000729
520,8076222,8076223,,2000000,3001179,4000729
521,8076224,8076225,,2000000,3001179,4000729
522,8076226,8076227,,2000000,3001179,4000729
523,8076814,8076815,,2000000,3001179,4000720
524,8076816,8076817,,2000000,3001179,4000720
525,8076818,8076819,,2000000,3001179,4000720
526,8076820,8076821,,2000000,3001179,4000720
527,8094594,8094595,,2000000,3001179,4000729
528,8094716,8094717,,2000000,3001179,4000720
529,8096915,8096916,,2000000,3001179,4000729
530,8098509,8098510,,2000000,3001179,4000720
531,8099287,8099288,,2000000,3001179,4000729
532,8100367,8100368,,2000000,3001179,4000729
533,8100569,8100570,,2000000,3001179,4000729
534,8103031,8103032,,2000000,3001179,4000729
535,8103898,8103899,,2000000,3001179,4000729
536,8045757,8091941,,2001482,3002548,4004664
537,8088914,8091942,,2001482,3002548,4004664
538,8049055,8091943,,2001482,3002548,4006322
539,8095316,8095317,,2001482,3002548,4004664
540,8025123,8037502,,2001135,3001181,4001264
541,8045759,8092003,,2001484,3002550,4004666
542,8045758,8091996,,2001483,3002549,4004665
543,8091997,8091998,,2001483,3002549,4007761
544,8091999,8092000,,2001483,3002549,4007762
545,8023416,8035796,,2001476,3001182,4001265
546,8045760,8092026,,2000870,3002551,4004667
547,8027027,8039406,,2000745,3001183,4000730
548,8030952,8043331,,2000745,3001183,4000730
549,8076206,8076207,,2000745,3001183,4000730
550,8076208,8076209,,2000745,3001183,4000730
551,8076212,8076213,,2000745,3001183,4000730
552,8076214,8076215,,2000745,3001183,4000730
553,8076904,8076905,,2000745,3001183,4000730
554,8050819,8092029,,2000395,3002552,4007062
555,8031674,8044052,,2000016,3001184,4003648
556,8031677,8044055,,2000016,3001184,4003648
557,8066247,8066248,,2000016,3001184,4003648
558,8066249,8066250,,2000016,3001184,4003648
559,8051750,8092037,,2001485,3002553,4007500
560,8028453,8040832,,2000080,3001185,4002397
561,8047597,8092039,,2001486,3002554,4005709
562,8047598,8092040,,2001486,3002554,4005709
563,8020251,8032631,,2000000,3001186,4000731
564,8020581,8032961,,2000000,3001186,4000731
565,8021022,8033402,,2000000,3001186,4000731
566,8021797,8034177,,2000000,3001186,4000731
567,8024272,8036651,,2000000,3001186,4000731
568,8027102,8039481,,2000000,3001186,4000731
569,8048542,8092048,,2000928,3002555,4006141
570,8048543,8092049,,2000928,3002555,4006141
571,8048544,8092050,,2000928,3002555,4006141
572,8048545,8092053,,2000928,3002555,4006141
573,8024003,8036382,,2000746,3001187,4003649
574,8045773,8092069,,2001487,3002556,4004676
575,8022787,8035167,,2000831,3001188,4001267
576,8023468,8035848,,2000831,3001188,4001267
577,8045774,8092070,,2001488,3002557,4004677
578,8025924,8038303,,2000748,3001189,4002402
579,8025447,8037826,,2000031,3001190,4002400
580,8023140,8035520,,2000014,3001200,4001276
581,8027903,8040282,,2000014,3001200,4001276
582,8045775,8092071,,2000962,3002558,4004678
583,8031650,8044028,,2000000,3001191,4000735
584,8101580,8101581,,2000000,3001191,4000735
585,8028722,8041101,,2000578,3001201,4002410
586,8028724,8041103,,2000578,3001201,4002410
587,8029164,8041543,,2000578,3001201,4002415
588,8029166,8041545,,2000578,3001201,4002415
589,8052282,8052287,,2000578,3001201,4002415
590,8052283,8052288,,2000578,3001201,4002415
591,8045786,8092079,,2000080,3002560,4004685
592,8045784,8092076,,2001019,3002559,4004683
593,8049433,8092077,,2001019,3002559,4006497
594,8029738,8042117,,2000749,3001192,4002403
595,8027173,8039552,,2001476,3001202,4002414
596,8045787,8092080,,2001019,3002561,4004686
597,8026708,8039087,,2000750,3001193,4003651
598,8026722,8039101,,2000750,3001193,4003651
599,8026724,8039103,,2000750,3001193,4003651
600,8026727,8039106,,2000750,3001193,4003651
601,8026731,8039110,,2000750,3001193,4003651
602,8027896,8040275,,2000750,3001193,4003651
603,8047530,8054185,,2000750,3001193,4005681
604,8047531,8054186,,2000750,3001193,4005681
605,8027896,8054187,,2000750,3001193,4003651
